Draw Number,Value
1,48.06
2,71.48
3,73.72
4,47.99
5,40.34
6,49.80
7,43.04
8,52.71
9,74.98
10,59.04
11,64.25
12,27.06
13,20.72
14,55.99
15,28.22
16,35.37
17,38.14
18,70.21
19,53.17
20,43.55
21,48.07
22,86.66
23,56.28
24,36.48
25,50.54
26,29.73
27,63.26
28,62.93
29,57.04
30,41.83
31,25.16
32,28.50
33,36.41
34,43.03
35,46.78
36,66.78
37,74.90
38,41.33
39,40.50
40,41.81
41,42.30
42,56.75
43,35.95
44,69.80
45,24.78
46,72.43
47,48.77
48,49.99
49,41.32
50,36.73
51,38.12
52,46.11
53,56.30
54,64.10
55,49.06
56,48.62
57,32.42
58,57.22
59,30.06
60,40.94
61,51.41
62,42.71
63,40.96
64,53.72
65,35.71
66,62.75
67,34.99
68,60.87
69,55.57
70,59.00
71,66.82
72,67.12
73,46.07
74,57.67
75,27.73
76,47.84
77,42.17
78,45.14
79,36.70
80,73.06
81,26.77
82,57.20
83,60.49
84,38.17
85,68.63
86,53.84
87,33.13
88,74.10
89,35.12
90,28.81
91,62.56
92,57.15
93,58.41
94,32.67
95,49.98
96,16.89
97,51.94
98,38.22
99,34.26
100,56.11
101,58.63
102,36.39
103,48.33
104,35.89
105,21.79
106,46.92
107,59.35
108,72.13
109,60.05
110,55.89
111,57.00
112,79.17
113,29.61
114,55.38
115,49.18
116,39.59
117,44.31
118,60.10
119,46.36
120,23.84
121,33.38
122,40.07
123,40.62
124,51.17
125,60.55
126,26.67
127,54.20
128,61.87
129,51.22
130,41.78
131,50.73
132,32.54
133,55.32
134,50.68
135,73.37
136,50.09
137,63.05
138,34.26
139,47.03
140,51.35
141,37.37
142,40.46
143,46.45
144,54.14
145,44.08
146,53.22
147,61.58
148,62.89
149,43.05
150,74.58
151,69.73
152,31.23
153,65.67
154,51.26
155,29.73
156,41.04
157,61.73
158,73.45
159,39.99
160,56.12
161,49.81
162,27.84
163,64.45
164,46.10
165,66.10
166,64.82
167,27.90
168,38.20
169,58.85
170,50.29
171,39.55
172,52.80
173,46.32
174,40.16
175,45.45
176,39.12
177,56.18
178,60.50
179,57.66
180,69.37
181,69.13
182,24.68
183,32.27
184,70.76
185,49.79
186,54.85
187,42.40
188,44.98
189,18.65
190,62.00
191,55.29
192,45.13
193,54.19
194,56.83
195,73.34
196,38.37
197,40.55
198,49.79
199,31.65
200,39.71
201,43.59
202,49.51
203,75.48
204,33.89
205,38.89
206,43.56
207,44.20
208,58.85
209,47.02
210,31.66
211,36.63
212,40.69
213,43.11
214,69.16
215,40.57
216,43.60
217,50.96
218,65.85
219,46.79
220,78.25
221,58.24
222,45.70
223,7.31
224,76.88
225,43.65
226,10.11
227,72.20
228,26.52
229,29.36
230,31.20
231,26.97
232,51.74
233,16.74
234,27.81
235,53.29
236,52.79
237,75.97
238,74.67
239,67.44
240,53.52
241,21.45
242,52.81
243,53.56
244,44.56
245,65.87
246,59.17
247,28.12
248,64.41
249,42.65
250,39.73
251,76.92
252,48.82
253,49.25
254,42.70
255,47.78
256,61.18
257,28.52
258,45.78
259,29.70
260,62.36
261,63.94
262,64.66
263,56.19
264,72.76
265,27.88
266,53.56
267,65.46
268,41.06
269,32.61
270,40.81
271,38.31
272,50.04
273,60.57
274,46.49
275,34.53
276,32.87
277,66.08
278,34.34
279,37.94
280,36.31
281,65.88
282,49.87
283,65.01
284,72.64
285,60.10
286,37.99
287,68.61
288,56.76
289,45.81
290,48.76
291,57.02
292,52.85
293,42.00
294,35.89
295,48.53
296,42.08
297,52.67
298,48.92
299,62.62
300,38.62

Mean,48.87
Standard Deviation,14.34
