Draw Number,Value
1,56.56
2,47.97
3,71.97
4,49.77
5,67.01
6,61.06
7,62.37
8,34.67
9,42.18
10,44.79
11,64.36
12,29.14
13,40.38
14,41.81
15,63.56
16,69.49
17,59.09
18,48.32
19,49.11
20,63.13
21,24.98
22,56.53
23,52.48
24,35.14
25,61.94
26,44.81
27,41.52
28,18.32
29,52.54
30,37.13
31,37.24
32,44.14
33,93.14
34,48.02
35,28.07
36,60.84
37,66.47
38,65.90
39,52.57
40,61.29
41,40.02
42,47.59
43,54.81
44,49.45
45,38.78
46,64.67
47,34.64
48,69.59
49,60.41
50,42.68
51,67.00
52,56.51
53,60.86
54,43.02
55,42.04
56,60.03
57,32.37
58,54.99
59,49.97
60,51.16
61,26.14
62,40.04
63,43.44
64,60.39
65,44.03
66,63.08
67,34.88
68,50.23
69,40.43
70,56.76
71,57.81
72,55.92
73,28.64
74,41.52
75,72.78
76,59.75
77,60.76
78,76.17
79,28.96
80,38.32
81,57.26
82,23.31
83,30.31
84,81.57
85,38.52
86,40.91
87,42.71
88,43.61
89,55.08
90,23.29
91,36.42
92,49.05
93,66.70
94,25.09
95,67.52
96,23.88
97,39.46
98,66.54
99,64.05
100,49.57

Mean,49.75
Standard Deviation,14.49
